method,phase,backend,seed,ok,best_score,best_program_sha256,best_program_path,time_start,time_end,error
statistic_llmrouter,train,,2,True,-2091.6,c15a08c4ddbecfeaa7de4c71e0e48120396d2f1b03c86eceec70f87bb8f49461,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_train_3\seed_2\best_program.txt,2026-03-05T00:34:46,2026-03-05T00:45:49,
statistic_llmrouter,train,,3,True,-2091.0,f3117042b8025822a00fcdc8ae5164c5425d40ac7f9d4c0f79879e18ab985d82,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_train_3\seed_3\best_program.txt,2026-03-05T00:45:49,2026-03-05T00:57:32,
statistic_llmrouter,train,,4,True,-2089.6,ca85199f8540340798591e0f38ee894eb397f8b5433846d40787ad0e2cba28b0,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_train_3\seed_4\best_program.txt,2026-03-05T00:57:32,2026-03-05T01:09:48,
statistic_llmrouter,test,,0,True,-2091.8,219f393f309fff5702316e4de1368a2f4a294e5a45c12257b0942dc0d8c46c7e,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_test_3\seed_0\best_program.txt,2026-03-05T01:09:54,2026-03-05T01:17:12,
statistic_llmrouter,test,,1,True,-2091.8,0d7b4c29d6f542c5b33212af92981e295e460780440d4bb2e3c0af4a4af053fa,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_test_3\seed_1\best_program.txt,2026-03-05T01:17:12,2026-03-05T01:24:23,
statistic_llmrouter,test,,2,True,-2091.8,d9e5af7c6917250924a01781235abf3095a5b152bc0bc76ab9a57c7296e70eb6,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_test_3\seed_2\best_program.txt,2026-03-05T01:24:23,2026-03-05T01:31:59,
statistic_llmrouter,test,,3,True,-2091.4,7a659609f1204ce0872e69c0f65a800c492c7a1c2c6e3c705e837b6629113793,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_test_3\seed_3\best_program.txt,2026-03-05T01:31:59,2026-03-05T01:39:18,
statistic_llmrouter,test,,4,True,-2091.4,de07f6f8eed4511593dbe0c7196eb821bf6347c0622800b319f0600e14864d68,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_test_3\seed_4\best_program.txt,2026-03-05T01:39:18,2026-03-05T01:46:55,
textgrad_router,train,,0,True,-2089.6,c33f25bb6f80a5ee9d531cc863e33f8b583f18fa3edbf15b7920c19637631a18,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\textgrad_router\eoh_obp_textgrad_train_3\seed_0\best_program.txt,2026-03-05T01:47:00,2026-03-05T02:03:50,
textgrad_router,train,,1,True,-2056.4,dacc28860b3841eee154176bc54f78625c9efaca187668b101e42bfdff4d83e3,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\textgrad_router\eoh_obp_textgrad_train_3\seed_1\best_program.txt,2026-03-05T02:03:50,2026-03-05T02:16:55,
